
--- RSI+>POCm1% 3d (22 entries, 30%) ---
   BUY | 2018-01-21 16:00 | $    11,421 | Cap: $    10,000 | RSI<30+VP>POC+1%(3d)
  SELL | 2018-01-25 03:00 | $    11,553 | Cap: $    10,115 | RSI>70
   BUY | 2018-10-16 04:00 | $     6,731 | Cap: $    10,115 | RSI<30+VP>POC+1%(3d)
  SELL | 2018-10-21 14:00 | $     6,636 | Cap: $     9,973 | RSI>70
   BUY | 2019-01-15 21:00 | $     3,534 | Cap: $     9,973 | RSI<30+VP>POC+1%(3d)
  SELL | 2019-01-19 11:00 | $     3,698 | Cap: $    10,435 | RSI>70
   BUY | 2019-07-26 10:00 | $     9,792 | Cap: $    10,435 | RSI<30+VP>POC+1%(3d)
  SELL | 2019-07-27 01:00 | $    10,142 | Cap: $    10,808 | RSI>70
   BUY | 2019-10-26 23:00 | $     9,149 | Cap: $    10,808 | RSI<30+VP>POC+1%(3d)
  SELL | 2019-10-27 17:00 | $     9,678 | Cap: $    11,433 | RSI>70
   BUY | 2019-11-08 22:00 | $     8,875 | Cap: $    11,433 | RSI<30+VP>POC+1%(3d)
  SELL | 2019-11-10 17:00 | $     9,021 | Cap: $    11,621 | RSI>70
   BUY | 2021-01-15 16:00 | $    35,611 | Cap: $    11,621 | RSI<30+VP>POC+1%(3d)
  SELL | 2021-01-22 22:00 | $    33,290 | Cap: $    10,863 | RSI>70
   BUY | 2021-06-30 11:00 | $    34,740 | Cap: $    10,863 | RSI<30+VP>POC+1%(3d)
  SELL | 2021-07-03 08:00 | $    34,500 | Cap: $    10,788 | RSI>70
   BUY | 2021-10-12 21:00 | $    55,361 | Cap: $    10,788 | RSI<30+VP>POC+1%(3d)
  SELL | 2021-10-14 03:00 | $    58,210 | Cap: $    11,343 | RSI>70
   BUY | 2022-03-10 05:00 | $    39,541 | Cap: $    11,343 | RSI<30+VP>POC+1%(3d)
  SELL | 2022-03-14 23:00 | $    39,326 | Cap: $    11,282 | RSI>70
   BUY | 2022-06-07 15:00 | $    29,909 | Cap: $    11,282 | RSI<30+VP>POC+1%(3d)
  SELL | 2022-06-07 23:00 | $    31,260 | Cap: $    11,791 | RSI>70
