
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
  SELL | 2018-01-08 10:00 | $    14,650 | Cap: $     9,867 | RSI<30
   BUY | 2018-01-18 01:00 | $    11,159 | Cap: $     9,867 | VP>VAH+1%(7d)
  SELL | 2018-01-21 16:00 | $    11,421 | Cap: $    10,098 | RSI<30
   BUY | 2018-01-28 06:00 | $    11,906 | Cap: $    10,098 | VP>VAH+1%(7d)
  SELL | 2018-01-29 20:00 | $    11,281 | Cap: $     9,568 | RSI<30
   BUY | 2018-02-09 23:00 | $     8,566 | Cap: $     9,568 | VP>VAH+1%(7d)
  SELL | 2018-02-21 04:00 | $    10,919 | Cap: $    12,197 | RSI<30
   BUY | 2018-02-27 04:00 | $    10,270 | Cap: $    12,197 | RSI>75
  SELL | 2018-03-06 11:00 | $    10,948 | Cap: $    13,002 | RSI<30
   BUY | 2018-03-11 18:00 | $     9,624 | Cap: $    13,002 | VP>VAH+1%(7d)
  SELL | 2018-03-14 18:00 | $     8,326 | Cap: $    11,248 | RSI<30
   BUY | 2018-03-19 14:00 | $     8,534 | Cap: $    11,248 | RSI>75
  SELL | 2018-03-25 12:00 | $     8,408 | Cap: $    11,082 | RSI<30
   BUY | 2018-04-03 18:00 | $     7,426 | Cap: $    11,082 | RSI>75
  SELL | 2018-04-04 14:00 | $     7,075 | Cap: $    10,558 | RSI<30
   BUY | 2018-04-07 08:00 | $     6,864 | Cap: $    10,558 | RSI>75
  SELL | 2018-04-09 20:00 | $     6,677 | Cap: $    10,270 | RSI<30
   BUY | 2018-04-12 12:00 | $     7,686 | Cap: $    10,270 | RSI>75
  SELL | 2018-04-16 21:00 | $     7,974 | Cap: $    10,656 | RSI<30
   BUY | 2018-04-19 14:00 | $     8,236 | Cap: $    10,656 | VP>VAH+1%(7d)
  SELL | 2018-05-01 15:00 | $     8,912 | Cap: $    11,530 | RSI<30
   BUY | 2018-05-03 17:00 | $     9,613 | Cap: $    11,530 | RSI>75
