
--- RevRSI Base (269 entries, 4773%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
  SELL | 2018-01-08 10:00 | $    14,650 | Cap: $     9,867 | RSI<30
   BUY | 2018-02-10 06:00 | $     8,843 | Cap: $     9,867 | RSI>75
  SELL | 2018-02-21 04:00 | $    10,919 | Cap: $    12,183 | RSI<30
   BUY | 2018-02-27 04:00 | $    10,270 | Cap: $    12,183 | RSI>75
  SELL | 2018-03-06 11:00 | $    10,948 | Cap: $    12,987 | RSI<30
   BUY | 2018-03-19 14:00 | $     8,534 | Cap: $    12,987 | RSI>75
  SELL | 2018-03-25 12:00 | $     8,408 | Cap: $    12,795 | RSI<30
   BUY | 2018-04-03 18:00 | $     7,426 | Cap: $    12,795 | RSI>75
  SELL | 2018-04-04 14:00 | $     7,075 | Cap: $    12,190 | RSI<30
   BUY | 2018-04-07 08:00 | $     6,864 | Cap: $    12,190 | RSI>75
  SELL | 2018-04-09 20:00 | $     6,677 | Cap: $    11,858 | RSI<30
   BUY | 2018-04-12 12:00 | $     7,686 | Cap: $    11,858 | RSI>75
  SELL | 2018-04-16 21:00 | $     7,974 | Cap: $    12,303 | RSI<30
   BUY | 2018-04-20 23:00 | $     8,824 | Cap: $    12,303 | RSI>75
  SELL | 2018-05-01 15:00 | $     8,912 | Cap: $    12,426 | RSI<30
   BUY | 2018-05-03 17:00 | $     9,613 | Cap: $    12,426 | RSI>75
  SELL | 2018-05-06 12:00 | $     9,537 | Cap: $    12,328 | RSI<30
   BUY | 2018-05-10 05:00 | $     9,350 | Cap: $    12,328 | RSI>75
  SELL | 2018-05-11 | $     9,002 | Cap: $    11,869 | RSI<30
   BUY | 2018-05-20 19:00 | $     8,531 | Cap: $    11,869 | RSI>75
  SELL | 2018-05-22 02:00 | $     8,274 | Cap: $    11,512 | RSI<30
   BUY | 2018-05-29 21:00 | $     7,499 | Cap: $    11,512 | RSI>75
  SELL | 2018-06-04 07:00 | $     7,579 | Cap: $    11,634 | RSI<30
   BUY | 2018-06-07 14:00 | $     7,699 | Cap: $    11,634 | RSI>75
  SELL | 2018-06-08 13:00 | $     7,552 | Cap: $    11,412 | RSI<30
   BUY | 2018-06-18 22:00 | $     6,723 | Cap: $    11,412 | RSI>75
  SELL | 2018-06-22 08:00 | $     6,500 | Cap: $    11,032 | RSI<30
   BUY | 2018-06-29 23:00 | $     6,247 | Cap: $    11,032 | RSI>75
  SELL | 2018-07-10 09:00 | $     6,582 | Cap: $    11,624 | RSI<30
   BUY | 2018-07-16 10:00 | $     6,528 | Cap: $    11,624 | RSI>75
  SELL | 2018-07-26 23:00 | $     7,917 | Cap: $    14,098 | RSI<30
   BUY | 2018-08-15 04:00 | $     6,290 | Cap: $    14,098 | RSI>75
  SELL | 2018-08-18 21:00 | $     6,357 | Cap: $    14,248 | RSI<30
   BUY | 2018-08-22 02:00 | $     6,809 | Cap: $    14,248 | RSI>75
  SELL | 2018-08-22 23:00 | $     6,351 | Cap: $    13,290 | RSI<30
   BUY | 2018-08-28 | $     6,907 | Cap: $    13,290 | RSI>75
  SELL | 2018-08-30 18:00 | $     6,867 | Cap: $    13,213 | RSI<30
   BUY | 2018-09-01 10:00 | $     7,071 | Cap: $    13,213 | RSI>75
  SELL | 2018-09-05 10:00 | $     7,092 | Cap: $    13,253 | RSI<30
   BUY | 2018-09-13 12:00 | $     6,468 | Cap: $    13,253 | RSI>75
  SELL | 2018-09-17 15:00 | $     6,355 | Cap: $    13,022 | RSI<30
   BUY | 2018-09-20 16:00 | $     6,418 | Cap: $    13,022 | RSI>75
  SELL | 2018-09-24 07:00 | $     6,645 | Cap: $    13,483 | RSI<30
   BUY | 2018-09-27 20:00 | $     6,669 | Cap: $    13,483 | RSI>75
  SELL | 2018-09-29 05:00 | $     6,509 | Cap: $    13,159 | RSI<30
   BUY | 2018-10-08 13:00 | $     6,666 | Cap: $    13,159 | RSI>75
  SELL | 2018-10-10 06:00 | $     6,555 | Cap: $    12,940 | RSI<30
   BUY | 2018-10-15 06:00 | $     6,698 | Cap: $    12,940 | RSI>75
  SELL | 2018-10-16 04:00 | $     6,731 | Cap: $    13,004 | RSI<30
   BUY | 2018-10-21 16:00 | $     6,645 | Cap: $    13,004 | RSI>75
  SELL | 2018-10-25 02:00 | $     6,513 | Cap: $    12,746 | RSI<30
   BUY | 2018-11-07 01:00 | $     6,565 | Cap: $    12,746 | RSI>75
  SELL | 2018-11-09 10:00 | $     6,437 | Cap: $    12,497 | RSI<30
   BUY | 2018-11-28 13:00 | $     4,195 | Cap: $    12,497 | RSI>75
  SELL | 2018-11-30 14:00 | $     4,040 | Cap: $    12,036 | RSI<30
   BUY | 2018-12-01 17:00 | $     4,276 | Cap: $    12,036 | RSI>75
  SELL | 2018-12-03 16:00 | $     3,883 | Cap: $    10,928 | RSI<30
   BUY | 2018-12-17 13:00 | $     3,410 | Cap: $    10,928 | RSI>75
